E, GeV Flux >E, particles/m^2 sr s 
pi=3.14159, detectorR=1.25 [m] , detectorS=19.635 [m2], time=0.000256 [sec]
1: E=0.082 [GeV], nEvents=493.259
2: E=0.095 [GeV], nEvents=492.171
3: E=0.1 [GeV], nEvents=489.623
4: E=0.11 [GeV], nEvents=486.831
5: E=0.12 [GeV], nEvents=484.101
6: E=0.13 [GeV], nEvents=478.401
7: E=0.15 [GeV], nEvents=475.309
8: E=0.16 [GeV], nEvents=472.329
9: E=0.17 [GeV], nEvents=466.576
10: E=0.19 [GeV], nEvents=460.455
11: E=0.21 [GeV], nEvents=457.18
12: E=0.22 [GeV], nEvents=450.493
13: E=0.24 [GeV], nEvents=443.718
14: E=0.26 [GeV], nEvents=433.547
15: E=0.29 [GeV], nEvents=426.971
16: E=0.31 [GeV], nEvents=416.907
17: E=0.34 [GeV], nEvents=410.253
18: E=0.36 [GeV], nEvents=400.762
19: E=0.39 [GeV], nEvents=388.56
20: E=0.43 [GeV], nEvents=379.104
21: E=0.46 [GeV], nEvents=367.061
22: E=0.5 [GeV], nEvents=355.944
23: E=0.54 [GeV], nEvents=344.763
24: E=0.58 [GeV], nEvents=334.116
25: E=0.62 [GeV], nEvents=321.697
26: E=0.67 [GeV], nEvents=309.883
27: E=0.72 [GeV], nEvents=298.711
28: E=0.77 [GeV], nEvents=285.752
29: E=0.83 [GeV], nEvents=274.004
30: E=0.89 [GeV], nEvents=261.252
31: E=0.96 [GeV], nEvents=250.775
32: E=1.02 [GeV], nEvents=239.329
33: E=1.09 [GeV], nEvents=227.427
34: E=1.17 [GeV], nEvents=216.26
35: E=1.25 [GeV], nEvents=204.546
36: E=1.34 [GeV], nEvents=195.135
37: E=1.42 [GeV], nEvents=183.987
38: E=1.52 [GeV], nEvents=174.013
39: E=1.62 [GeV], nEvents=164.914
40: E=1.72 [GeV], nEvents=155.53
41: E=1.83 [GeV], nEvents=146.358
42: E=1.95 [GeV], nEvents=138.07
43: E=2.07 [GeV], nEvents=129.868
44: E=2.2 [GeV], nEvents=122.477
45: E=2.33 [GeV], nEvents=114.693
46: E=2.48 [GeV], nEvents=107.797
47: E=2.62 [GeV], nEvents=101.038
48: E=2.78 [GeV], nEvents=94.9131
49: E=2.94 [GeV], nEvents=88.6294
50: E=3.12 [GeV], nEvents=82.9262
51: E=3.3 [GeV], nEvents=77.5647
52: E=3.49 [GeV], nEvents=72.4034
53: E=3.69 [GeV], nEvents=63.0802
54: E=4.12 [GeV], nEvents=54.7101
55: E=4.59 [GeV], nEvents=47.2983
56: E=5.11 [GeV], nEvents=40.7651
57: E=5.68 [GeV], nEvents=35.3335
58: E=6.3 [GeV], nEvents=30.394
59: E=6.99 [GeV], nEvents=26.1391
60: E=7.74 [GeV], nEvents=22.5008
61: E=8.57 [GeV], nEvents=19.3476
62: E=9.48 [GeV], nEvents=16.5936
63: E=10.48 [GeV], nEvents=14.2817
64: E=11.57 [GeV], nEvents=12.3046
65: E=12.77 [GeV], nEvents=10.6023
66: E=14.09 [GeV], nEvents=9.07372
67: E=15.54 [GeV], nEvents=7.81988
68: E=17.12 [GeV], nEvents=6.78018
69: E=18.86 [GeV], nEvents=5.85797
70: E=20.76 [GeV], nEvents=5.09935

