E, GeV	Flux >E, particles/m^2 sr s 
0.082	7808.99
0.095	7791.77
0.1	7751.44
0.11	7707.24
0.12	7664.01
0.13	7573.77
0.15	7524.83
0.16	7477.64
0.17	7386.57
0.19	7289.67
0.21	7237.82
0.22	7131.955
0.24	7024.69
0.26	6863.67
0.29	6759.56
0.31	6600.23
0.34	6494.9
0.36	6344.64
0.39	6151.458
0.43	6001.76
0.46	5811.11
0.5	5635.0982
0.54	5458.09
0.58	5289.54
0.62	5092.92
0.67	4905.89
0.72	4729.025
0.77	4523.87
0.83	4337.87
0.89	4135.99
0.96	3970.13
1.02	3788.92
1.09	3600.49
1.17	3423.71
1.25	3238.26
1.34	3089.26
1.42	2912.78
1.52	2754.88
1.62	2610.82
1.72	2462.26
1.83	2317.05
1.95	2185.85
2.07	2056
2.2	1938.98
2.33	1815.76
2.48	1706.58
2.62	1599.58
2.78	1502.61
2.94	1403.13
3.12	1312.84
3.3	1227.96
3.49	1146.25
3.69	998.65
4.12	866.14
4.59	748.8
5.11	645.37
5.68	559.38
6.3	481.18
6.99	413.82
7.74	356.22
8.57	306.3
9.48	262.7
10.48	226.1
11.57	194.8
12.77	167.85
14.09	143.65
15.54	123.8
17.12	107.34
18.86	92.74
20.76	80.73

	
	
	
	
	
	
	
	
	
	
	
	
	
	
