detectorR=1.25 [m] , detectorS=19.635 [m2], dtime=0.0625 [sec]
0: E=0.082 [GeV], nEvents=120424
1: E=0.095 [GeV], nEvents=120159
2: E=0.1 [GeV], nEvents=119537
3: E=0.11 [GeV], nEvents=118855
4: E=0.12 [GeV], nEvents=118189
5: E=0.13 [GeV], nEvents=116797
6: E=0.15 [GeV], nEvents=116042
7: E=0.16 [GeV], nEvents=115315
8: E=0.17 [GeV], nEvents=113910
9: E=0.19 [GeV], nEvents=112416
10: E=0.21 [GeV], nEvents=111616
11: E=0.22 [GeV], nEvents=109984
12: E=0.24 [GeV], nEvents=108330
13: E=0.26 [GeV], nEvents=105846
14: E=0.29 [GeV], nEvents=104241
15: E=0.31 [GeV], nEvents=101784
16: E=0.34 [GeV], nEvents=100160
17: E=0.36 [GeV], nEvents=97842.3
18: E=0.39 [GeV], nEvents=94863.2
19: E=0.43 [GeV], nEvents=92554.7
20: E=0.46 [GeV], nEvents=89614.6
21: E=0.5 [GeV], nEvents=86900.3
22: E=0.54 [GeV], nEvents=84170.6
23: E=0.58 [GeV], nEvents=81571.4
24: E=0.62 [GeV], nEvents=78539.2
25: E=0.67 [GeV], nEvents=75655
26: E=0.72 [GeV], nEvents=72927.5
27: E=0.77 [GeV], nEvents=69763.8
28: E=0.83 [GeV], nEvents=66895.4
29: E=0.89 [GeV], nEvents=63782.2
30: E=0.96 [GeV], nEvents=61224.4
31: E=1.02 [GeV], nEvents=58429.9
32: E=1.09 [GeV], nEvents=55524.1
33: E=1.17 [GeV], nEvents=52797.9
34: E=1.25 [GeV], nEvents=49938
35: E=1.34 [GeV], nEvents=47640.3
36: E=1.42 [GeV], nEvents=44918.7
37: E=1.52 [GeV], nEvents=42483.7
38: E=1.62 [GeV], nEvents=40262.1
39: E=1.72 [GeV], nEvents=37971.1
40: E=1.83 [GeV], nEvents=35731.8
41: E=1.95 [GeV], nEvents=33708.6
42: E=2.07 [GeV], nEvents=31706.1
43: E=2.2 [GeV], nEvents=29901.5
44: E=2.33 [GeV], nEvents=28001.3
45: E=2.48 [GeV], nEvents=26317.6
46: E=2.62 [GeV], nEvents=24667.5
47: E=2.78 [GeV], nEvents=23172.1
48: E=2.94 [GeV], nEvents=21638
49: E=3.12 [GeV], nEvents=20245.6
50: E=3.3 [GeV], nEvents=18936.7
51: E=3.49 [GeV], nEvents=17676.6
52: E=3.69 [GeV], nEvents=15400.4
53: E=4.12 [GeV], nEvents=13357
54: E=4.59 [GeV], nEvents=11547.4
55: E=5.11 [GeV], nEvents=9952.42
56: E=5.68 [GeV], nEvents=8626.34
57: E=6.3 [GeV], nEvents=7420.4
58: E=6.99 [GeV], nEvents=6381.62
59: E=7.74 [GeV], nEvents=5493.36
60: E=8.57 [GeV], nEvents=4723.53
61: E=9.48 [GeV], nEvents=4051.16
62: E=10.48 [GeV], nEvents=3486.75
63: E=11.57 [GeV], nEvents=3004.06
64: E=12.77 [GeV], nEvents=2588.46
65: E=14.09 [GeV], nEvents=2215.26
66: E=15.54 [GeV], nEvents=1909.15
67: E=17.12 [GeV], nEvents=1655.32
68: E=18.86 [GeV], nEvents=1430.17
69: E=20.76 [GeV], nEvents=1244.96

